Field1,clstr_id,samp_id,meas_no,meas_yr,meas_first,meas_last,tsa,tsa_no,mgmt_unit,sampletype,project_de,bgc_zone,ysm_main,mat_main,species_cl,meas_dt,no_meas,period,tot_period,tfl,no_plots,own_sched,own_sched_,samp_sts,grid_size,grid_size_,grid_size1,grid_base,protect_ps,utm_source,utm_zone,utm_eastin,utm_northi,bcalb_x,bcalb_y,aspect,slope,elev,bec_source,elev_1,plot_typ,area_pm,shp_pm,len_pm,wid_pm,rad_pm,baf_pm,util,baha_L,baha_I,baha_V,baha_D,baha_DF,stemsha_L,stemsha_I,stemsha_V,stemsha_D,stemsha_DF,wsvha_L,wsvha_I,wsvha_V,wsvha_D,wsvha_DF,nmvha_L,nmvha_D,spc_live1,spc_label_,spc_label1,lead_si,lead_htop,bh_stand_a,tot_stand_,tsa_desc,objectid
11,CAR1-1316-MO1,CAR1_1316_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,BG,N,Y,Douglas-Fir,2013-09-27,1,0,0,NA,1,62-C,Crown - Forest Management Unit (TSA),A,20 X 20,-67.48872596690,0.00000000000,NFI,N,DGPS,10,561000.00000000000,5678000,1270000,701000,NA,NA,765,PROV_BEC_2017,BGxw2,F,0.04000000000,C,NA,NA,11.28379167000,NA,12.50000000000,7.12029544500,0,0,0.00000000000,0,200.13448240000,0,0,0.00000000000,0,28.50593469000,0,0,0.00000000000,0,25.77858846000,0.00000000000,FD,FD100,,12.54980469,14.2,59,71.74592141,100 Mile House TSA,51510
12,CAR1-1316-MO1,CAR1_1316_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,BG,N,Y,Douglas-Fir,2013-09-27,1,0,0,NA,1,62-C,Crown - Forest Management Unit (TSA),A,20 X 20,-67.48872596690,0.00000000000,NFI,N,DGPS,10,561000.00000000000,5678000,1270000,701000,NA,NA,765,PROV_BEC_2017,BGxw2,F,0.04000000000,C,NA,NA,11.28379167000,NA,17.50000000000,6.70719295400,0,0,0.00000000000,0,175.11767210000,0,0,0.00000000000,0,27.06442287000,0,0,0.00000000000,0,24.85297501000,0.00000000000,FD,FD100,,12.54980469,14.2,59,71.74592141,100 Mile House TSA,51511
13,CAR1-1321-MO1,CAR1_1321_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,ESSF,N,Y,Pine,2013-09-26,1,0,0,NA,1,60-N,Crown - Conservancy / Eco Reserve / Protected Area,A,20 X 20,-67.48872596690,0.00000000000,NFI,N,DGPS,10,581000.00000000000,5678000,1290000,701000,NA,NA,1781,PROV_BEC_2017,ESSFxc3,F,0.04000000000,C,NA,NA,11.28379167000,NA,4.00000000000,8.49951744100,0,0,45.44697198000,0,700.47068850000,0,0,1300.87413600000,0,37.49721677000,0,0,248.81135250000,0,22.72107093000,195.80089680000,PL,PL36PA34S30,,6.901610692,10,70.71428571,82.61567972,100 Mile House TSA,51512
14,CAR1-1321-MO1,CAR1_1321_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,ESSF,N,Y,Pine,2013-09-26,1,0,0,NA,1,60-N,Crown - Conservancy / Eco Reserve / Protected Area,A,20 X 20,-67.48872596690,0.00000000000,NFI,N,DGPS,10,581000.00000000000,5678000,1290000,701000,NA,NA,1781,PROV_BEC_2017,ESSFxc3,F,0.04000000000,C,NA,NA,11.28379167000,NA,7.50000000000,7.85002797900,0,0,45.44697198000,0,500.33620610000,0,0,1300.87413600000,0,35.86721904000,0,0,248.81135250000,0,22.72107093000,195.80089680000,PL,PL39S31PA30,,6.901610692,10,70.71428571,82.61567972,100 Mile House TSA,51513
15,CAR1-1321-MO1,CAR1_1321_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,ESSF,N,Y,Pine,2013-09-26,1,0,0,NA,1,60-N,Crown - Conservancy / Eco Reserve / Protected Area,A,20 X 20,-67.48872596690,0.00000000000,NFI,N,DGPS,10,581000.00000000000,5678000,1290000,701000,NA,NA,1781,PROV_BEC_2017,ESSFxc3,F,0.04000000000,C,NA,NA,11.28379167000,NA,12.50000000000,5.50042282800,0,0,45.28782192000,0,225.15129270000,0,0,1275.85732500000,0,27.25908000000,0,0,248.30648410000,0,20.24800746000,195.80089680000,SX,S45PL33PA22,,NA,NA,70.71428571,82.61567972,100 Mile House TSA,51514
16,CAR1-1321-MO1,CAR1_1321_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,ESSF,N,Y,Pine,2013-09-26,1,0,0,NA,1,60-N,Crown - Conservancy / Eco Reserve / Protected Area,A,20 X 20,-67.48872596690,0.00000000000,NFI,N,DGPS,10,581000.00000000000,5678000,1290000,701000,NA,NA,1781,PROV_BEC_2017,ESSFxc3,F,0.04000000000,C,NA,NA,11.28379167000,NA,17.50000000000,2.55838646200,0,0,38.42167537000,0,50.03362061000,0,0,900.60517090000,0,13.08272475000,0,0,213.64802210000,0,10.69992900000,172.72120800000,SX,S74PL26,,NA,NA,70.71428571,82.61567972,100 Mile House TSA,51515
17,CAR1-1331-MO1,CAR1_1331_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,IDF,N,Y,Douglas-Fir,2013-08-31,1,0,0,NA,1,62-C,Crown - Forest Management Unit (TSA),A,20 X 20,-67.48872596690,0.00000000000,NFI,N,DGPS,10,621000.00000000000,5676000,1330000,701000,NA,NA,993,PROV_BEC_2017,IDFdk3,F,0.04000000000,C,NA,NA,11.28379167000,NA,4.00000000000,12.92237642000,0,0,5.45572327200,0,850.57155030000,0,0,250.16810300000,0,59.12916632000,0,0,24.67019226000,0,41.39161365000,15.23326287000,FD,FD88PL12,,15.64773683,15.53333333,49.33333333,59.69200029,100 Mile House TSA,51516
18,CAR1-1331-MO1,CAR1_1331_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,IDF,N,Y,Douglas-Fir,2013-08-31,1,0,0,NA,1,62-C,Crown - Forest Management Unit (TSA),A,20 X 20,-67.48872596690,0.00000000000,NFI,N,DGPS,10,621000.00000000000,5676000,1330000,701000,NA,NA,993,PROV_BEC_2017,IDFdk3,F,0.04000000000,C,NA,NA,11.28379167000,NA,7.50000000000,12.15201150000,0,0,5.45572327200,0,650.43706790000,0,0,250.16810300000,0,57.21935778000,0,0,24.67019226000,0,41.39161365000,15.23326287000,FD,FD88PL12,,15.64773683,15.53333333,49.33333333,59.69200029,100 Mile House TSA,51517
19,CAR1-1331-MO1,CAR1_1331_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,IDF,N,Y,Douglas-Fir,2013-08-31,1,0,0,NA,1,62-C,Crown - Forest Management Unit (TSA),A,20 X 20,-67.48872596690,0.00000000000,NFI,N,DGPS,10,621000.00000000000,5676000,1330000,701000,NA,NA,993,PROV_BEC_2017,IDFdk3,F,0.04000000000,C,NA,NA,11.28379167000,NA,12.50000000000,9.49487340300,0,0,4.46278403400,0,300.20172360000,0,0,150.10086180000,0,47.70568212000,0,0,20.34687025000,0,40.52370608000,13.91899569000,FD,FD96PL04,,15.64773683,15.53333333,49.33333333,59.69200029,100 Mile House TSA,51518
20,CAR1-1331-MO1,CAR1_1331_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,IDF,N,Y,Douglas-Fir,2013-08-31,1,0,0,NA,1,62-C,Crown - Forest Management Unit (TSA),A,20 X 20,-67.48872596690,0.00000000000,NFI,N,DGPS,10,621000.00000000000,5676000,1330000,701000,NA,NA,993,PROV_BEC_2017,IDFdk3,F,0.04000000000,C,NA,NA,11.28379167000,NA,17.50000000000,7.31270984200,0,0,3.48829441400,0,175.11767210000,0,0,100.06724120000,0,37.57340165000,0,0,15.04613958000,0,33.90291460000,10.29570128000,FD,FD100,,15.64773683,15.53333333,49.33333333,59.69200029,100 Mile House TSA,51519
21,CAR1-1336-MO1,CAR1_1336_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,IDF,Y,Y,Spruce,2013-09-01,1,0,0,NA,1,62-C,Crown - Forest Management Unit (TSA),A,20 X 20,-67.48872596690,0.00000000000,NFI,N,DGPS,10,641000.00000000000,5675000,1350000,701000,NA,NA,1188,PROV_BEC_2017,IDFdk3,F,0.04000000000,C,NA,NA,11.28379167000,NA,4.00000000000,32.34951084000,0,0,12.69512584000,0,4953.32844000000,0,0,775.52111940000,0,199.79435550000,0,0,91.32115316000,0,100.68109000000,62.24566572000,SX,S41FD34AT22PL03,,13.31035156,17.025,66.42857143,78.76578578,100 Mile House TSA,51520
22,CAR1-1336-MO1,CAR1_1336_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,IDF,Y,Y,Spruce,2013-09-01,1,0,0,NA,1,62-C,Crown - Forest Management Unit (TSA),A,20 X 20,-67.48872596690,0.00000000000,NFI,N,DGPS,10,641000.00000000000,5675000,1350000,701000,NA,NA,1188,PROV_BEC_2017,IDFdk3,F,0.04000000000,C,NA,NA,11.28379167000,NA,7.50000000000,25.56853906000,0,0,12.19016822000,0,1951.31120400000,0,0,575.38663700000,0,177.21954970000,0,0,89.40346407000,0,100.68109000000,62.24566572000,SX,S44AT27FD24PL05,,13.31035156,17.025,66.42857143,78.76578578,100 Mile House TSA,51521
23,CAR1-1336-MO1,CAR1_1336_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,IDF,Y,Y,Spruce,2013-09-01,1,0,0,NA,1,62-C,Crown - Forest Management Unit (TSA),A,20 X 20,-67.48872596690,0.00000000000,NFI,N,DGPS,10,641000.00000000000,5675000,1350000,701000,NA,NA,1188,PROV_BEC_2017,IDFdk3,F,0.04000000000,C,NA,NA,11.28379167000,NA,12.50000000000,17.00650118000,0,0,10.19562491000,0,625.42025760000,0,0,300.20172360000,0,132.61130830000,0,0,78.88548982000,0,97.76029093000,60.94225001000,SX,S46AT41FD13,,13.31035156,17.025,66.42857143,78.76578578,100 Mile House TSA,51522
24,CAR1-1336-MO1,CAR1_1336_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,IDF,Y,Y,Spruce,2013-09-01,1,0,0,NA,1,62-C,Crown - Forest Management Unit (TSA),A,20 X 20,-67.48872596690,0.00000000000,NFI,N,DGPS,10,641000.00000000000,5675000,1350000,701000,NA,NA,1188,PROV_BEC_2017,IDFdk3,F,0.04000000000,C,NA,NA,11.28379167000,NA,17.50000000000,9.13959543700,0,0,8.17520497000,0,150.10086180000,0,0,200.13448240000,0,81.45383665000,0,0,64.30776336000,0,65.59123449000,50.88681059000,AT,AT77S23,,NA,NA,66.42857143,78.76578578,100 Mile House TSA,51523
25,CAR1-1341-MO1,CAR1_1341_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,MS,N,Y,Spruce,2013-08-30,1,0,0,NA,1,62-C,Crown - Forest Management Unit (TSA),A,20 X 20,-67.48872596690,0.00000000000,NFI,N,DGPS,10,661000.00000000000,5674000,1370000,701000,NA,NA,1384,PROV_BEC_2017,MSxk2,F,0.04000000000,C,NA,NA,11.28379167000,NA,4.00000000000,18.04461153000,0,0,0.00000000000,0,575.38663700000,0,0,0.00000000000,0,143.98515760000,0,0,0.00000000000,0,120.92654260000,0.00000000000,SX,S87BL13,,18.18172698,19.68,55.2,65.49326598,100 Mile House TSA,51524
26,CAR1-1341-MO1,CAR1_1341_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,MS,N,Y,Spruce,2013-08-30,1,0,0,NA,1,62-C,Crown - Forest Management Unit (TSA),A,20 X 20,-67.48872596690,0.00000000000,NFI,N,DGPS,10,661000.00000000000,5674000,1370000,701000,NA,NA,1384,PROV_BEC_2017,MSxk2,F,0.04000000000,C,NA,NA,11.28379167000,NA,7.50000000000,17.70281220000,0,0,0.00000000000,0,375.25215460000,0,0,0.00000000000,0,143.24998270000,0,0,0.00000000000,0,120.92654260000,0.00000000000,SX,S87BL13,,18.18172698,19.68,55.2,65.49326598,100 Mile House TSA,51525
27,CAR1-1341-MO1,CAR1_1341_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,MS,N,Y,Spruce,2013-08-30,1,0,0,NA,1,62-C,Crown - Forest Management Unit (TSA),A,20 X 20,-67.48872596690,0.00000000000,NFI,N,DGPS,10,661000.00000000000,5674000,1370000,701000,NA,NA,1384,PROV_BEC_2017,MSxk2,F,0.04000000000,C,NA,NA,11.28379167000,NA,12.50000000000,17.23996058000,0,0,0.00000000000,0,325.21853390000,0,0,0.00000000000,0,141.25685480000,0,0,0.00000000000,0,120.33589220000,0.00000000000,SX,S89BL11,,18.18172698,19.68,55.2,65.49326598,100 Mile House TSA,51526
28,CAR1-1341-MO1,CAR1_1341_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,MS,N,Y,Spruce,2013-08-30,1,0,0,NA,1,62-C,Crown - Forest Management Unit (TSA),A,20 X 20,-67.48872596690,0.00000000000,NFI,N,DGPS,10,661000.00000000000,5674000,1370000,701000,NA,NA,1384,PROV_BEC_2017,MSxk2,F,0.04000000000,C,NA,NA,11.28379167000,NA,17.50000000000,16.36019472000,0,0,0.00000000000,0,275.18491330000,0,0,0.00000000000,0,135.82298860000,0,0,0.00000000000,0,116.55243640000,0.00000000000,SX,S90BL10,,18.18172698,19.68,55.2,65.49326598,100 Mile House TSA,51527
29,CAR1-3811-MO1,CAR1_3811_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,SBS,N,N,Poplar,2013-09-12,1,0,0,NA,1,62-C,Crown - Forest Management Unit (TSA),A,20 X 20,-67.48872596690,0.00000000000,NFI,N,VGPS,10,624000.00000000000,5756000,1330000,781000,NA,NA,1212,PROV_BEC_2017,SBSdw1,F,0.04000000000,C,NA,NA,11.28379167000,NA,4.00000000000,3.14370504500,0,0,0.00000000000,0,25.01681030000,0,0,0.00000000000,0,27.05753523000,0,0,0.00000000000,0,23.68901278000,0.00000000000,AT,AT100,,17.25732422,23.1,86.81025641,90.37567001,100 Mile House TSA,51528
30,CAR1-3811-MO1,CAR1_3811_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,SBS,N,N,Poplar,2013-09-12,1,0,0,NA,1,62-C,Crown - Forest Management Unit (TSA),A,20 X 20,-67.48872596690,0.00000000000,NFI,N,VGPS,10,624000.00000000000,5756000,1330000,781000,NA,NA,1212,PROV_BEC_2017,SBSdw1,F,0.04000000000,C,NA,NA,11.28379167000,NA,7.50000000000,3.14370504500,0,0,0.00000000000,0,25.01681030000,0,0,0.00000000000,0,27.05753523000,0,0,0.00000000000,0,23.68901278000,0.00000000000,AT,AT100,,17.25732422,23.1,86.81025641,90.37567001,100 Mile House TSA,51529
31,CAR1-3811-MO1,CAR1_3811_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,SBS,N,N,Poplar,2013-09-12,1,0,0,NA,1,62-C,Crown - Forest Management Unit (TSA),A,20 X 20,-67.48872596690,0.00000000000,NFI,N,VGPS,10,624000.00000000000,5756000,1330000,781000,NA,NA,1212,PROV_BEC_2017,SBSdw1,F,0.04000000000,C,NA,NA,11.28379167000,NA,12.50000000000,3.14370504500,0,0,0.00000000000,0,25.01681030000,0,0,0.00000000000,0,27.05753523000,0,0,0.00000000000,0,23.68901278000,0.00000000000,AT,AT100,,17.25732422,23.1,86.81025641,90.37567001,100 Mile House TSA,51530
32,CAR1-3811-MO1,CAR1_3811_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,SBS,N,N,Poplar,2013-09-12,1,0,0,NA,1,62-C,Crown - Forest Management Unit (TSA),A,20 X 20,-67.48872596690,0.00000000000,NFI,N,VGPS,10,624000.00000000000,5756000,1330000,781000,NA,NA,1212,PROV_BEC_2017,SBSdw1,F,0.04000000000,C,NA,NA,11.28379167000,NA,17.50000000000,3.14370504500,0,0,0.00000000000,0,25.01681030000,0,0,0.00000000000,0,27.05753523000,0,0,0.00000000000,0,23.68901278000,0.00000000000,AT,AT100,,17.25732422,23.1,86.81025641,90.37567001,100 Mile House TSA,51531
33,CAR1-3816-MO1,CAR1_3816_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,ICH,N,Y,Cedar,2013-09-11,1,0,0,NA,1,62-C,Crown - Forest Management Unit (TSA),A,20 X 20,-67.48872596690,0.00000000000,NFI,N,DGPS,10,644000.00000000000,5755000,1350000,781000,NA,NA,960,PROV_BEC_2017,ICHdk,F,0.04000000000,C,NA,NA,11.28379167000,NA,4.00000000000,67.59464910000,0,0,4.98322440400,0,4027.70645900000,0,0,800.53792970000,0,490.75713100000,0,0,19.49069164000,0,332.19548660000,7.90322271700,CW,CW63BL15S08FD08EP06,,NA,NA,289.1022353,304.9282179,100 Mile House TSA,51532
34,CAR1-3816-MO1,CAR1_3816_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,ICH,N,Y,Cedar,2013-09-11,1,0,0,NA,1,62-C,Crown - Forest Management Unit (TSA),A,20 X 20,-67.48872596690,0.00000000000,NFI,N,DGPS,10,644000.00000000000,5755000,1350000,781000,NA,NA,960,PROV_BEC_2017,ICHdk,F,0.04000000000,C,NA,NA,11.28379167000,NA,7.50000000000,61.06926054000,0,0,2.84519060300,0,1425.95818700000,0,0,100.06724120000,0,470.48925470000,0,0,12.95643187000,0,332.19548660000,7.90322271700,CW,CW70BL12S07FD07EP04,,NA,NA,289.1022353,304.9282179,100 Mile House TSA,51533
35,CAR1-3816-MO1,CAR1_3816_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,ICH,N,Y,Cedar,2013-09-11,1,0,0,NA,1,62-C,Crown - Forest Management Unit (TSA),A,20 X 20,-67.48872596690,0.00000000000,NFI,N,DGPS,10,644000.00000000000,5755000,1350000,781000,NA,NA,960,PROV_BEC_2017,ICHdk,F,0.04000000000,C,NA,NA,11.28379167000,NA,12.50000000000,56.58726061000,0,0,2.47114864700,0,800.53792970000,0,0,50.03362061000,0,448.39146550000,0,0,11.79139522000,0,329.41527890000,7.90322271700,CW,CW75BL10S06FD06EP03,,NA,NA,289.1022353,304.9282179,100 Mile House TSA,51534
36,CAR1-3816-MO1,CAR1_3816_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,ICH,N,Y,Cedar,2013-09-11,1,0,0,NA,1,62-C,Crown - Forest Management Unit (TSA),A,20 X 20,-67.48872596690,0.00000000000,NFI,N,DGPS,10,644000.00000000000,5755000,1350000,781000,NA,NA,960,PROV_BEC_2017,ICHdk,F,0.04000000000,C,NA,NA,11.28379167000,NA,17.50000000000,53.78223084000,0,0,1.97442360200,0,625.42025760000,0,0,25.01681030000,0,431.72408800000,0,0,9.63526521000,0,319.20987410000,7.90322271700,CW,CW78BL11FD06S04EP01,,NA,NA,289.1022353,304.9282179,100 Mile House TSA,51535
37,CAR1-3821-MO1,CAR1_3821_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,ICH,N,Y,Cedar,2013-09-05,1,0,0,NA,1,78-B,Crown - First Nations Woodland Licence,A,20 X 20,-67.48872596690,0.00000000000,NFI,N,DGPS,10,664000.00000000000,5754000,1370000,781000,NA,NA,902,PROV_BEC_2017,ICHdk,F,0.04000000000,C,NA,NA,11.28379167000,NA,4.00000000000,30.66780547000,0,0,11.47835480000,0,1651.10948000000,0,0,200.13448240000,0,288.69301810000,0,0,104.14914920000,0,232.83235240000,66.73538957000,CW,CW52S37AT11,,12.56987305,20.45,95.6,106.1491832,100 Mile House TSA,51536
